175010;2;Водитель с л/а ЕКБ;Екатеринбург;"<div> <div data-qa=""vacancy-description""> <p><span> уже более 12 лет является лидером по розничной торговле контрактными запчастями на японские и европейские автомобили.</span><br /><span>Магазины и техцентры  уже успешно работают в Омске, Екатеринбурге, Москве и Тюмени, закуп товаров производится в Японии и Корее.</span><br /><span> активно растет и развивается, и мы ищем сотрудников, готовых стать частью нашей высокоэффективной и дружной команды!</span></p> <p><strong><span>Обязанности:</span></strong></p> <ol> <li><span>Прием товара и документов в распределительном центре (п. Большой Исток);</span></li> <li><span>Доставка товара клиентам по Екатеринбургу и пригороде;</span></li> <li><span>Развоз товара по транспортным компаниям г. Екатеринбург;</span></li> <li><span>Сдача товара в транспортные компании согласно сопроводительным документам.</span></li> </ol> <p><strong><span>Требования:</span></strong></p> <ol> <li><span>Наличие грузового автомобиля: фургон, грузоподъемность 1,5 тонны (будет установлен наш GPS датчик);</span></li> <li><span>Опыт работы от 1 года на аналогичной должности;</span></li> <li><span>Знание и умение работать с большим объемом товарно-сопроводительных документов;</span></li> <li><span>Знание автозапчастей;</span></li> <li><span>Хорошее знание города;</span></li> <li><span>Исполнительность, доброжелательность, пунктуальность;</span></li> <li><span>Водительские права категории B, С.</span></li> </ol> <p><strong><span>Условия:</span></strong></p> <ol> <li><span>График работы: с 10:00 до 19:00, пятидневная рабочая неделя выходными - суббота, воскресенье;</span></li> <li><span>Компенсация ГСМ;</span></li> <li><span>Своевременная выплата заработной платы 2 раза в месяц;</span></li> <li><span>Для сотрудников Компании действует дополнительная скидка на товар!</span></li> </ol> </div> </div> <div></div> <div> <h2 data-qa=""bloko-header-2"">Опыт вождения</h2> Права категории<span> B, </span>C</div>"
137615;2;Водитель;Москва;NULL
142187;2;Водитель на корпоративном авто;Москва;"<p>График 6/1, ЗП от 45.000. Необходима возможность работать в дневные, вечерние и ночные смены!&nbsp;</p>"
217285;2;Водитель с личным автомобилем ГАЗель;Екатеринбург;"<p><span>Немного об</span><strong><span>&nbsp;</span></strong><span>&nbsp;&ndash; кто мы:</span></p> <p><span>-&nbsp;</span><em><span>лидеры по розничной торговле контрактными запчастями на японские, европейские и корейские автомобили.</span></em></p> <p><em><span>- закуп товара производится в Японии и Корее.</span></em></p> <p><em><span>- магазины и техцентры  успешно работают в Омске, Москве, Тюмени, Екатеринбурге.</span></em></p> <p><span>В настоящее время у нас открыта вакансия водителя с личным автомобилем ГАЗель.</span></p> <p><strong><span>Обязанности</span></strong><span>:</span></p> <ul> <li><span>Приемка товара (автозапчасти) и документов на товар от товароведов на складе;</span></li> <li><span>Доставка товара клиентам по городу и пригороду;</span></li> <li><span>Развоз товара по транспортным компаниям;</span></li> <li><span>Верное оформление накладных на сдачу груза в транспортные компании согласно сопроводительных документов.</span></li> </ul> <p><strong><span>Требования:</span></strong></p> <ul> <li><span>Наличие собственного грузового автомобиля - фургон в хорошем состоянии грузоподъемностью 1,5 - 2 тонны желательно на газу (Газель или иностранные аналоги с фургоном), объем фургона 9-11 кубов (На авто будет установлен наш GPS датчик);</span></li> <li><span>Опыт работы водителем-экспедитором/курьером в сфере грузоперевозок (транспортные компании) или курьерских доставках не менее 1 года;</span></li> <li><span>Водительское удостоверение категории В;</span></li> <li><span>Знание и умение работать с товарно-сопроводительными документами;</span></li> <li><span>Хорошее знание города;</span></li> <li><span>Исполнительность, дисциплинированность;</span></li> </ul> <p><strong><span>Условия:</span></strong></p> <ul> <li><span>График работы: 5/2 с 10:00 до 19:00, выходные плавающие;</span></li> <li><span>Заработная плата: оклад; компенсация: ГСМ;</span></li> <li><span>Своевременная выплата заработной платы 2 раза в месяц;</span></li> <li><span>Для сотрудников Компании действует дополнительная скидка на товар;</span></li> <li><span>Район работы: поселок Большой Исток.</span></li> </ul>"
9635;2;Водитель Воронеж;Москва;NULL
83003;2;Водитель (автомобиль со спец. оборудованием);Санкт-Петербург;"Уважаемый Соискатель! Благодарим Вас за проявленный интерес к нашей Компании.<br /><br />В Обособленном подразделении г. Санкт-Петербург (Север) открыта вакансия специалиста на автомобиль LADA Largus<br /><br />Ваши будущие задачи:<br /><br />Обслуживание и эксплуатация автомобиля, оснащенного специализированным оборудованием:<br />- контроль технического состояния и внешнего вида автомобиля;<br />- соблюдение Правил дорожного движения;<br /><br />Эксплуатация специализированного оборудования:<br />- выезд на федеральную трассу к месту проведения мобильного контроля;<br />- контроль транспортного потока и классификация транспортных средств с помощью - - специализированного оборудования в точке мобильного контроля;<br />- обеспечение контроля работы оборудования, в том числе устранение возникших нарушений в рамках своей компетенции.<br /><br />Заполнение отчетных документов (путевые листы, журнал и т.д.).<br /><br />Чтобы стать кандидатом, Вам нужно:<br /><br />- Высшее или среднее-специальное (техническое) образование;<br />- Опыт управления автомобилем не менее 5 лет;<br />- Действующее водительское удостоверение категории В и медицинская справка по форме 003-В/У;<br />- Уверенный пользователь ПК.<br /><br />Мы предлагаем:<br /><br />Работу в масштабном проекте федерального значения<br /><br />Комфортные условия работы<br /><br />- Оформление в полном соответствии с Трудовым Кодексом РФ;<br />- Достойная заработная плата, зарплатные проекты в ведущих банках России (Сбербанк, Альфа - банк, Газпромбанк);<br />- Комфортабельный офис по адресу г. Санкт-Петербург<br />- График работы сменный 4/2 с 09:00 до 18:00ч.;<br />- 3 дополнительных оплачиваемых дня в год (day off).<br /><br />Забота о здоровье<br /><br />- Страхование жизни и здоровья от несчастных случаев 24 часа в сутки;<br />- Дополнительная оплата 10-ти дней больничного листа.<br /><br />Возможность профессионального обучения и карьерного развития<br />- Поддержка руководителя в адаптационный период;<br />- Внутренние программы on-line обучения;<br /><br />Корпоративная жизнь<br /><br />- Мероприятия на Новый год и День компании;<br />- Детские новогодние подарки;<br />- Возможность участия в отраслевых спортивных соревнованиях."
286712;2;Водитель-экспедитор (Екатеринбург);Екатеринбург;NULL
147195;2;Водитель ричтрака;Москва;NULL
148082;2;Водитель на авто компании;Москва;NULL
148264;2;"Водитель на личном авто ";Москва;NULL
196137;2;водитель на авто компании;Москва;<p>Водители на нашем авто.</p> <p>с 20:00 до 5 утра</p> <p></p>
196516;2;водитель на личном авто;Москва;NULL
196517;2;водитель на авто компании;Москва;NULL
196524;2;водитель на авто компании;Москва;NULL
92293;2;Водитель автопогрузчика;Санкт-Петербург;"Обязанности:<br />- управление автопогрузчиком.<br /><br />Требования:<br />- среднее полное образование;<br />- опыт работы от 3-х лет на автопогрузчике;<br />- наличие водительского удостоверения категорий: B, C и удостоверения тракториста-машиниста категории C с отметкой «водитель-погрузчика»;<br />- ответственность, дисциплинированность.<br /><br />Условия:<br />- день/день (с 08:00 до 20:30), два дня выходных;<br />- совокупный доход от 25 678 до 46 733 рублей (оклад + ежемесячная премия) до вычета НДФЛ;<br />- оформление по ТК РФ;<br />- предоставляется спецодежда;<br />- корпоративная развозка от/до ст. м. Московская/Авиагородок.<br /><br />Внимание! В связи с проверкой государственных органов процесс трудоустройства и получения пропуска на контролируемую зону аэропорта может занимать от 6 до 8 недель."
93870;2;Водитель отдела управления парковочным комплексом;Санкт-Петербург;"ОБЯЗАННОСТИ:<br />управление служебным автомобилем (категория B) с системой «Паркон» по маршруту патрулирования;<br />выявление повреждений имущества и оборудования парковочного комплекса;<br />фиксация нарушений ПДД;<br />поддержание исправного технического состояния автомобиля, заправка и мойка;<br />взаимодействие с оператором системы «Паркон» по обеспечению работоспособности и эксплуатации оборудования.<br /><br />ТРЕБОВАНИЯ:<br />среднее специальное или высшее образование;<br />наличие водительского удостоверения категории B;<br />опыт работы от 4-х лет на автомобиле категории B;<br />безаварийное вождение, отсутствие ДТП по вине водителя;<br />уравновешенность, стрессоустойчивость, исполнительность, готовность к однообразной работе.<br /><br />УСЛОВИЯ:<br />сменный график (по согласованию с руководителем);<br />совокупный доход от 27 000 до 36 405 рублей (оклад + ежемесячная премия + доплата за ночные смены) до вычета НДФЛ;<br />оформление по ТК РФ;<br />корпоративная развозка от/до ст. м. Московская/Авиагородок.<br /><br />Внимание! В связи с проверкой государственных органов процесс трудоустройства и получения пропуска на контролируемую зону аэропорта может занимать ОТ 6 ДО 8 НЕДЕЛЬ."
147931;2;Водитель на личном авто;Москва;<p>Водитель на личном авто с графиком 2/2 и более, оплата 8% от количества вывезенных заказов</p>
365732;1;Водитель электропогрузчика;Санкт-Петербург;NULL
293625;1;Водитель-курьер на личном автомобиле;Екатеринбург;NULL
