1824189;Академия Федеральной службы охраны Российской Федерации, Орел;Программа ОВВКУС, Специалист РР и ТР линии связи;1993
1909808;НИУ БелГУ;юридический(магистратура), уголовного процесса,криминалистики теории оперативно-розыскной деятельности.;2013
1909808;НИУ БелГУ;экономики и управления, Менеджмент организации;2011
1909808;Белгородский государственный университет, Белгород;Юридический, Уголовный процесс, криминалистика, теория оперативно-розыскной деятельности;2013
1909808;НИУ БелГУ;юридический, Судебная экспертиза, криминалистика теория оперативно-розыскной деятельности.;2013
1909808;НИУ БелГУ;экономический, Менеджмент организации;2011
1909808;Белгородский государственный университет, Белгород;Юридический, Уголовный процесс, криминалистика, теория оперативно-розыскной деятельности;2014
1909808;Белгородский государственный университет, Белгород;Экономический, Менеджмент организации;2011
1956171;"ГПОУ ""ПКТиМ """;Радиоэлектроремонтных технологий , Электромонтёр , слесарь КИПиА;2014
1873220;Воронежский государственный университет инженерных технологий, Воронеж;СПО, Технология продукции общественного питания;2015
1873220;Воронежский государственный аграрный университет им. Императора Петра I, Воронеж;Технология товаровединие, Товароведение;2018
2001355;втст;Прикладная информатика, Прикладная информатика (по областям);2015
2038080;Московский государственный университет путей сообщения, Москва;Движение, Инженер. Организация перевозок и управление на транспорте (железнодорожном);2012
2089341;ПУ 96;NULL;1998
2089341;ПУ 96;Автотранспорт, Водитель, автослесарь, машинист экскаватора;1998
1722884;ГУНПО ПУ№6;Водитель/Слесарь-ремонтник;2004
1934820;ПУ13;Машиностроение;1997
1913695;Сампурское ПУ4;Машинист тракторист селькохозяйственного производства, Машинист широкого профиля;2003
1913695;Пу4 с.сампур;Машинист широкого профиля;2003
1678373;ВГПТк;Технический, Автомеханник;2010
2007449;Московский институт предпринимательства и права, Москва;юридический, правоведение;2004
1751374;Средняя школа 173 г.москвы;NULL;1976
2024180;Воронежский государственный архитектурно-строительный университет, Воронеж;Фисис, Инженер газотеплоснабжения;2006
2024180;Воронежский государственный архитектурно-строительный университет;ФИСИС;2006
2024180;Факультет: ФИСИС;ФИСИС, Инженер;2006
2024180;Воронежский Механический Техникум;автомобильный;2003
2024180;Воронежский государственный архитектурно-строительный университет, Воронеж;фисис, Инженер по газотеплоснабжения;2006
1719289;МАВИАТ;Вычислитель ЭВМ;2009
1719289;МАВИАТ;Вычислитель ЭВМ;2008
1719286;Мордовский гос университет.;NULL;1992
1719286;Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва                    , г. Саранск.;Физ факультет, Преподаватель физкультуры;1995
1719286;Мордовский национальный исследовательский государственный университет им. Н.П. Огарева, Саранск;Физ. фак., Преподаватель;1993
1719286;Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва;Преподаватель физкультуры, Физ воспитание;1991
1935484;Институт Физкультуры ( г. Душанбе);Физической культуры;1994
2024810;Московский автомобильный техникум;автомеханника, автотехника;1997
2024810;Училище 167;Гражданская авиация, Борт проводник воздушного судна;1989
1829871;Московский университет им. С.Ю. Витте, Москва;Экономики и финансов, Налоги и налогообложение;2015
1829871;Московский университет им. С.Ю. Витте, Москва;Экономики и финансов, Налоги и налогообложение;2013
1906393;"Московский государственный технический университет ""МАМИ"", Москва";тракторостроение, механника;2001
1906393;спту№142;механника, слесарь-сборщик;1998
1906393;"Московский государственный технический университет ""МАМИ"", Москва";АМТ;2000
1906393;ПТУ№142;Слесарь механо-сборочных работ, Слесарь механо-сборочных работ;1997
1906393;"Московский государственный технический университет ""МАМИ"", Москва";АМТ;-1
1978587;АТП;Банковское дело, Банковский специалист;2018
1993191;ПТУ 27;Общественное питание, Повар;2002
1993191;ПТУ 27;Общепит, Повар универсал;2002
1721619;Академия сферы социальных отношений;NULL;2015
1901630;Обоянский Аграрный Техникум;Мчс;2013
1901630;Обоянский Аграрный Техникум.;Мастер с/х производства;2013
1781195;Балтийская академия туризма и предпринимательства, Санкт-Петербург;Мгу, Проектирование зданий;1999
1781195;Водитель категории В С D.;NULL;-1
1781195;Московский государственный университет им. М.В. Ломоносова, Москва;Мгу, Архитектура (архитектор);2012
1781195;Водитель категории В С D.;NULL;-1
1781195;Водитель категории В С D.;NULL;-1
1781195;Водитель категории В С D.;NULL;-1
1781195;Водитель категории В С D.;NULL;-1
2021896;Авиационный техникум;Дневной, Автомеханник;2015
2021896;Авиационный Техникум;Дневной, Автослесарь;2016
1827790;СПТУ-175 г.Зеленограда;Дневное;1992
1827790;СПТУ№175 г. Зеленоград;станочник широкого профиля;1992
1827790;Дневная/Очная форма обучения;Станочник широкого профиля (токарь, фрезеровщик.) наладчик станков с ЧПУ.;1992
1827790;Дневная/Очная форма обучения;Станочник широкого профиля (токарь, фрезеровщик.) наладчик станков с ЧПУ.;1992
1827790;СПТУ-175;NULL;1992
1827790;СПТУ-175;Станочник широкого профиля наладчик станков с ЧПУ.;1992
1886058;профессиональное училище 59;дневной, портной;2000
2124174;ПТУ-80;Водитель автомобиля категории A, B, C, D;1991
2102093;ПУ-107;"водитель ""В"",""С"", машинист дорожно-строительной техники";1997
2102093;ПУ-107;"Водитель ""В"", ""С""";1994
2124217;Пермский военный институт внутренних войск Министерства внутренних дел Российской Федерации;Кинологии, Биолог кинолог;2003
2185800;Профессиональное  училище №80;Автомеханик, слесарь по ремонту а/м;2005
2243627;Профессиональный лицей №53 (ГБПОУ ВО Воронежский техникум пищевой и перерабатывающей промышленности);Поварской, Повар-кондитер;2007
2243607;Воронежский государственный университет, Воронеж;Физический факультет, физик;2014
2191436;Московский Градостроительный Колледж;Московский Градостроительный Колледж, Электрик, механик, сварщик, водитель;2014
2192518;Лицей;Краснодеревщик;1993
2266000;Воронежский государственный университет инженерных технологий, Воронеж;Экономический, Экономика и управление на предприятии (по отраслям);2014
2273454;Воронежский государственный технический университет, Воронеж;Факультет вечернего и заочного обучения, МЕТАЛЛУРГИЯ, МАШИНОСТРОЕНИЕ И МАТЕРИАЛООБРАБОТКА;2020
2273454;Воронежский колледж железнодорожного транспорта;Техническая эксплуатация подвижного состава железных дорог, Техник;2008
2273657;Филиал Московского государственного университета путей сообщения, Воронеж;ВОСА/ВОСЭ, Организация и безопасность движения;2020
2273657;Воронежский колледж железнодорожного транспорта;Техническая эксплуатация подвижного состава, Помощник машиниста электровоза;2014
2273826;Воронежский государственный аграрный университет им. Императора Петра I, Воронеж;Агроинженерный факультет, Сервис транспортных и технологических машин и оборудования (по отраслям);2013
2273829;Воронежский государственный аграрный университет им. Императора Петра I, Воронеж;Агроинженерный, Эксплуатация транспортно – технологических машин и комплексов;2016
2273829;Павловский сельскохозяйственный техникум, Павловск (Воронежская область);Механический, Механизация сельского хозяйства;2013
2273829;Профессиональное училище №46 р.п. Кантемировка, Воронежская область;Механизация сельского хозяйства, Тракторист-машинист сельскохозяйственного производства;2011
2274264;Воронежский государственный технический университет, Воронеж;Факультет информационных технологий и компьютерной безопасности, Вычислительные машины, комплексы, системы и сети;2019
2274264;ВАТ им В.П.Чкалова;автоматизация технологических процессов и производств, Автоматизация технологических процессов и производств (по отраслям);2013
2274350;Воронежский государственный технический университет, Воронеж;Радиотехнический факультет, инженер;2010
2274307;Воронежская государственная лесотехническая академия, Воронеж;Лесной факультет, Лесное дело;2011
2275346;Профессиональное техническое училище 226;Токарь 2 класса, Сварщик 2 класса, тракторист 2 класса,;2015
2275346;Астраханский государственный технический университет, Астрахань;Юристпруденция, Правоохранительная деятельность;2005
2275346;Астраханское речное училище;Судоводитель, Матрос 1 класса;2005
2276013;Калачеевский колледж механизации сельского хозяйства;технический, электрик;2008
2283753;Воронежский государственный институт физической культуры Московской государственной академии физической культуры, Воронеж;Кафедра теории и методики гимнастики, стрельбы и адаптивной физической культуры, Физическая культура;2016
2281632;Воронежский государственный технический университет;Автоматизации роботизации машиностроения, Инженер технолог;2014
2294802;Воронежский государственный аграрный университет им. Петра I                    , г. Воронеж.;Инженер электрик;2007
2294911;Воронежский государственный аграрный университет им. Петра I;Агрохимии;2010
2299883;Белгородский университет кооперации, экономики и права;Экономический, Экономика и управление на предприятии, Экономика и управление на предприятии, Экономист-менеджер;1998
2299900;Воронежская государственная лесотехническая академия;Лесное и лесопарковое хозяйство, Инженер;2009
2306272;Воронежский экономико-правовой институт, Воронеж;эконом, Экономика и управление на предприятии (по отраслям);2015
2308104;Воронежский государственный технический университет, Воронеж;Системы автоматизированного проектирования, Системы автоматизированного проектирования (инженер);2012
2308104;Воронежский техникум строительных технологий;Автоматизация, Автоматизация технологических процессов и производств;2008
2308141;Колледж сервиса, г. Павлодар, Республика Казахстан;Техническое обслуживание, ремонт и эксплуатация автомобильного транспорта, Техник-механик;2006
2308141;Профессиональный лицей 15, г. Павлодар. Республика Казахстан;Организация питания, Специалист организации питания;2004
2309346;Филиал Санкт-Петербургского государственного университета водных коммуникаций, Воронеж;Информационные системы и технологии, Информационные системы и технологии (инженер);2011
2309956;ВГАУ им. императора Петра I;Землеустройство;2016
2309538;(ВГАУ) Воронежский государственный аграрный университет им. К.Д.Глинки;Агроинженерный, Механизация сельского хозяйства;2011
2309538;Калачеевский колледж механизации сельского хозяйства;Механизация сельского хозяйства;2006
2318094;Северо-Кавказская Академия Государственной Службы;Налоги и налогообложение, Специалист;2009
2318114;Воронежский монтажный техникум;МЭЭПиГЗ, техник-электрик;1993
2318134;Воронежский государственный университет, Воронеж;Исторический факультет, Политология (политолог);2017
2326392;Воронежский институт высоких технологий                    , г. Воронеж.;Управление персоналом, Менеджер;2010
2326392;ВВТУ ФСО;Техник;2005
2328350;Российский экономический университет им. Г.В. Плеханова, Москва;ЗАОЧНОЕ, Коммерция (торговое дело);2015
2328350;ВОсхТ;ОЧНОЕ, Ветеринария;2006
2328951;Воронежский государственный университет, Воронеж;Экономический, Финансы и кредит;2015
2330580;Воронежская государственная лесотехническая академия, Воронеж;лесоинженерный, Лесоинженерное дело;2013
2330580;Воронежская государственная лесотехническая академия, Воронеж;экономический, экономист-аналитик;2013
2331447;Санкт-Петербургский государственный университет водных коммуникаций, Санкт-Петербург;Юридический, Юриспруденция;2010
